Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),ZONE 1:Zone Mean Air Temperature [C](Hourly),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE 1 PTHP:Zone Packaged Terminal Heat Pump Total Heating Rate [W](Hourly),ZONE 1 PTHP:Zone Packaged Terminal Heat Pump Electricity Rate [W](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),InteriorLights:Electricity [J](Hourly) 
 01/01  01:00:00,-3.533333333,5.758333333,0,-1.32957332,0.001696777,0,0,0,0,0,0
 01/01  02:00:00,2.4,4.775,0,1.413758541,0.003443578,0,0,0,0,0,0
 01/01  03:00:00,5.183333333,4.108333333,0,3.059637115,0.004219194,0,0,0,0,0,0
 01/01  04:00:00,6.508333333,5.533333333,0,4.23145783,0.004372382,0,0,0,0,0,0
 01/01  05:00:00,6.741666667,5.708333333,0,4.906110773,0.00410505,0,0,0,0,0,0
 01/01  06:00:00,6.583333333,5.816666667,0,5.240218547,0.003700262,0,0,0,0,0,0
 01/01  07:00:00,4.633333333,5.583333333,0,4.747597885,0.003307688,0,0,0,0,0,0
 01/01  08:00:00,2.658333333,4.358333333,50.97222222,3.846669753,0.003082607,0,0,0,0,0,0
 01/01  09:00:00,2.55,5.008333333,346.25,4.430204584,0.003111722,0,0,0,0,0,0
 01/01  10:00:00,3.091666667,5.8,350.0833333,5.485040688,0.003193868,0,0,0,0,0,0
 01/01  11:00:00,3.65,6.616666667,35.5,5.814068408,0.003146228,0,0,0,0,0,0
 01/01  12:00:00,3.9,7.725,4.333333333,5.886467065,0.002990164,0,0,0,0,0,0
 01/01  13:00:00,3.9,9.675,19.66666667,5.99406611,0.00279781,0,0,0,0,0,0
 01/01  14:00:00,2.908333333,11.325,3.583333333,5.759887505,0.002596622,0,0,0,0,0,0
 01/01  15:00:00,1.266666667,10.06666667,5.25,5.044151866,0.002376333,0,0,0,0,0,0
 01/01  16:00:00,0.25,10.00833333,10.08333333,4.360831308,0.002056478,0,0,0,0,0,0
 01/01  17:00:00,-0.641666667,8.7,1.083333333,3.623595358,0.001813959,0,0,0,0,0,0
 01/01  18:00:00,-1.1,7.2,0,2.933153058,0.001705287,0,0,0,0,0,0
 01/01  19:00:00,-1.45,6.733333333,0,2.418452633,0.001727755,0,0,0,0,0,0
 01/01  20:00:00,-2.341666667,6.4,0,1.72841037,0.001677937,0,0,0,0,0,0
 01/01  21:00:00,-3.733333333,7.858333333,0,0.819244928,0.001430771,0,0,0,0,0,0
 01/01  22:00:00,-5.391666667,8.083333333,0,-0.262085226,0.001170899,0,0,0,0,0,0
 01/01  23:00:00,-7.091666667,7.033333333,0,-1.424032488,0.001007929,0,0,0,0,0,0
 01/01  24:00:00,-8.441666667,6.525,0,-2.513574981,0.000994185,0,0,0,0,0,0
 01/02  01:00:00,-8.9,5.758333333,0,-3.267660936,0.00098077,0,0,0,0,0,0
 01/02  02:00:00,-9.191666667,3.491666667,0,-3.830538828,0.00091774,0,0,0,0,0,0
 01/02  03:00:00,-9.75,3.483333333,0,-4.461922173,0.000928895,0,0,0,0,0,0
 01/02  04:00:00,-10,4.4,0,-4.968503896,0.0009562,0,0,0,0,0,0
 01/02  05:00:00,-10.35,3.466666667,0,-5.420619279,0.000956154,0,0,0,0,0,0
 01/02  06:00:00,-10.6,2.975,0,-5.847673286,0.000953403,0,0,0,0,0,0
 01/02  07:00:00,-10.6,3.1,0,-6.119972412,0.000953021,0,0,0,0,0,0
 01/02  08:00:00,-10.6,3.566666667,5.138888889,18.68951523,0.001320842,12105.93215,15433.14601,0,55349657.11,55559325.63,3110400
 01/02  09:00:00,-10.25,4.716666667,38.41666667,20.00178257,0.00155586,8685.806983,12251.20281,0,43894661.58,44104330.11,3110400
 01/02  10:00:00,-9.65,5.941666667,70.25,20.00176976,0.001581906,7345.182615,10854.39488,0,38866153.04,39075821.57,3110400
 01/02  11:00:00,-9.108333333,7.683333333,104.9166667,20.00166127,0.001583361,6498.149938,9946.196679,0,35596639.52,35806308.05,3110400
 01/02  12:00:00,-8.55,8.775,77.58333333,20.00152467,0.001606945,5911.219072,9290.798473,0,33237205.97,33446874.5,3110400
 01/02  13:00:00,-8.3,9.191666667,42.83333333,20.00144451,0.001658957,5547.39565,8896.651444,0,31818276.67,32027945.2,3110400
 01/02  14:00:00,-8.3,8.291666667,4.75,20.00147023,0.001699734,5352.419969,8707.832443,0,31138528.27,31348196.79,3110400
 01/02  15:00:00,-8.3,7.85,0.083333333,20.00149725,0.001708938,5270.801917,8629.488089,0,30856488.59,31066157.12,3110400
 01/02  16:00:00,-8.65,8.1,0,20.0011924,0.001456409,6371.39515,9715.403804,0,34765785.17,34975453.69,2073600
